date,volume,level,inflow_efas5,e0_emo1,pr_emo1,ta_emo1
1990-01-01,14.11,521.03,8.36,,,
1990-01-02,14.148,521.07,1.58,0.28,0.1,2.49
1990-01-03,14.196,521.12,1.61,0.16,0.0,1.74
1990-01-04,14.225,521.15,1.6,0.4,5.81,4.07
1990-01-05,14.253,521.18,1.59,0.2,0.23,2.69
1990-01-06,14.282,521.21,1.58,0.23,0.0,1.25
1990-01-07,14.321,521.25,1.6,0.4,0.0,2.79
1990-01-08,14.321,521.25,1.59,0.32,0.28,3.39
1990-01-09,14.331,521.26,1.59,0.18,0.31,1.48
1990-01-10,14.34,521.27,1.59,0.09,0.26,-0.29
1990-01-11,14.35,521.28,1.58,0.24,0.01,1.39
1990-01-12,14.35,521.28,1.59,0.26,0.0,3.09
1990-01-13,14.35,521.28,1.58,0.1,0.0,0.41
1990-01-14,14.359,521.29,1.58,0.26,0.0,1.11
1990-01-15,14.359,521.29,1.58,0.21,0.16,1.64
1990-01-16,14.369,521.3,1.58,0.33,0.05,1.62
1990-01-17,14.379,521.31,1.58,0.53,0.0,1.39
1990-01-18,14.388,521.32,1.59,0.34,0.0,0.59
1990-01-19,14.408,521.34,1.58,0.04,0.34,-2.73
1990-01-20,14.418,521.35,1.58,0.14,0.0,-0.45
1990-01-21,14.427,521.36,1.58,0.4,0.0,-0.46
1990-01-22,14.437,521.37,1.58,1.31,0.0,2.85
1990-01-23,14.437,521.37,1.58,0.42,0.0,-1.86
1990-01-24,14.437,521.37,1.58,0.65,0.01,3.56
1990-01-25,14.447,521.38,1.58,0.15,0.04,2.84
1990-01-26,14.456,521.39,1.58,0.57,0.86,7.67
1990-01-27,14.456,521.39,1.59,0.62,0.57,4.49
1990-01-28,14.456,521.39,1.6,0.19,0.13,4.96
1990-01-29,14.495,521.43,1.59,0.43,14.25,3.21
1990-01-30,14.544,521.48,1.58,0.43,0.15,2.82
1990-01-31,14.551,521.49,1.59,0.28,0.0,3.13
1990-02-01,14.573,521.51,1.59,0.4,3.74,5.27
1990-02-02,14.602,521.54,1.59,0.1,0.1,2.34
1990-02-03,14.612,521.55,1.58,0.21,0.0,4.19
1990-02-04,14.621,521.56,1.58,0.24,0.16,5.15
1990-02-05,14.621,521.56,1.58,0.27,0.0,3.39
1990-02-06,14.631,521.57,1.58,0.63,0.0,7.68
1990-02-07,14.641,521.58,1.58,0.42,0.06,5.03
1990-02-08,14.641,521.58,1.58,0.59,0.0,6.95
1990-02-09,14.65,521.59,1.58,0.79,0.27,8.42
1990-02-10,14.65,521.59,1.59,0.3,0.0,6.4
1990-02-11,14.65,521.59,1.59,0.35,1.03,5.64
1990-02-12,14.65,521.59,1.6,0.71,2.6,6.01
1990-02-13,14.65,521.59,1.59,1.01,18.01,5.55
1990-02-14,14.66,521.6,1.58,1.18,0.17,7.87
1990-02-15,14.66,521.6,1.58,2.6,0.0,9.53
1990-02-16,14.66,521.6,1.58,1.01,0.0,7.77
1990-02-17,14.66,521.6,1.58,0.79,0.0,8.3
1990-02-18,14.66,521.6,1.58,1.22,0.0,8.5
1990-02-19,14.66,521.6,1.58,1.0,0.0,7.77
1990-02-20,14.66,521.6,1.58,1.16,0.0,9.59
1990-02-21,14.65,521.59,1.58,0.97,0.1,9.24
1990-02-22,14.641,521.58,1.58,0.61,0.0,6.42
1990-02-23,14.641,521.58,1.58,1.41,0.0,7.92
1990-02-24,14.631,521.57,1.58,1.56,0.0,9.28
1990-02-25,14.631,521.57,1.58,1.29,0.0,9.55
1990-02-26,14.621,521.56,1.58,0.69,0.0,4.51
1990-02-27,14.612,521.55,1.57,0.86,0.0,6.77
1990-02-28,14.602,521.54,1.58,2.44,0.03,11.16
1990-03-01,14.592,521.53,1.58,1.43,0.0,10.58
1990-03-02,14.582,521.52,1.6,0.89,1.84,6.85
1990-03-03,14.563,521.5,1.59,0.97,1.4,-0.06
1990-03-04,14.551,521.49,1.58,1.35,0.18,-0.97
1990-03-05,14.539,521.47,1.58,1.1,0.0,0.66
1990-03-06,14.524,521.46,1.58,2.06,0.0,2.8
1990-03-07,14.505,521.44,1.57,1.52,0.0,2.89
1990-03-08,14.476,521.41,1.59,2.7,0.0,7.9
1990-03-09,14.466,521.4,1.59,1.07,9.23,9.49
1990-03-10,14.456,521.39,1.58,0.98,0.42,6.04
1990-03-11,14.437,521.37,1.58,1.95,0.0,8.32
1990-03-12,14.418,521.35,1.58,1.56,0.0,8.78
1990-03-13,14.388,521.32,1.58,1.33,0.0,9.8
1990-03-14,14.379,521.31,1.58,1.65,15.58,9.78
1990-03-15,14.379,521.31,1.57,1.05,2.35,6.05
1990-03-16,14.359,521.29,1.56,1.99,0.09,6.18
1990-03-17,14.331,521.26,1.55,2.57,0.0,7.2
1990-03-18,14.302,521.23,1.55,2.03,0.0,6.89
1990-03-19,14.282,521.21,1.54,1.33,0.0,6.37
1990-03-20,14.263,521.19,1.53,1.38,0.0,6.85
1990-03-21,14.244,521.17,1.52,2.6,0.0,11.44
1990-03-22,14.215,521.14,1.51,2.52,0.0,10.69
1990-03-23,14.157,521.08,1.5,2.56,0.07,11.83
1990-03-24,14.081,521.0,1.5,1.61,0.02,10.13
1990-03-25,14.014,520.93,1.49,1.55,0.07,9.69
1990-03-26,13.938,520.85,1.48,1.73,2.09,4.51
1990-03-27,13.863,520.77,1.47,1.91,0.0,0.41
1990-03-28,13.787,520.69,1.46,1.84,0.5,0.81
1990-03-29,13.703,520.6,1.46,2.0,0.03,1.65
1990-03-30,13.628,520.52,1.44,1.27,0.0,0.5
1990-03-31,13.553,520.44,1.44,2.52,0.0,3.91
1990-04-01,13.478,520.36,1.44,2.04,0.0,5.96
1990-04-02,13.403,520.28,1.47,1.92,13.42,7.03
1990-04-03,13.403,520.28,1.45,1.06,12.4,4.57
1990-04-04,13.393,520.27,1.44,1.78,3.23,6.59
1990-04-05,13.346,520.22,1.45,1.95,0.1,6.59
1990-04-06,13.356,520.23,1.45,1.7,8.37,7.47
1990-04-07,13.346,520.22,1.45,1.66,6.82,7.48
1990-04-08,13.337,520.21,1.45,1.91,0.06,6.05
1990-04-09,13.328,520.2,1.46,1.96,1.71,5.77
1990-04-10,13.328,520.2,1.46,1.85,4.1,4.38
1990-04-11,13.318,520.19,1.45,2.04,0.15,1.99
1990-04-12,13.29,520.16,1.46,2.84,0.39,8.06
1990-04-13,13.243,520.11,1.46,2.34,0.18,8.55
1990-04-14,13.197,520.06,1.46,1.85,1.76,7.55
1990-04-15,13.142,520.0,1.45,2.41,1.77,5.41
1990-04-16,13.086,519.94,1.45,2.54,1.42,5.39
1990-04-17,13.022,519.87,1.46,2.47,0.0,6.33
1990-04-18,12.967,519.81,1.46,1.88,3.7,4.31
1990-04-19,12.903,519.74,1.45,2.15,3.59,3.77
1990-04-20,12.84,519.67,1.46,3.1,4.0,6.61
1990-04-21,12.785,519.61,1.48,2.15,4.06,3.49
1990-04-22,12.74,519.56,1.48,1.28,5.12,0.29
1990-04-23,12.704,519.52,1.48,1.7,0.46,1.3
1990-04-24,12.659,519.47,1.48,2.49,6.34,5.07
1990-04-25,12.614,519.42,1.49,2.58,5.33,6.17
1990-04-26,12.587,519.39,1.49,2.04,1.1,4.76
1990-04-27,12.587,519.39,1.5,3.17,0.0,7.66
1990-04-28,12.578,519.38,1.5,3.76,0.0,9.08
1990-04-29,12.569,519.37,1.5,4.55,0.0,10.3
1990-04-30,12.56,519.36,1.51,3.91,0.0,10.56
1990-05-01,12.542,519.34,1.51,2.77,0.0,9.81
1990-05-02,12.525,519.32,1.5,3.39,0.0,8.1
1990-05-03,12.498,519.29,1.49,4.59,0.0,9.11
1990-05-04,12.471,519.26,1.49,4.77,0.0,9.41
1990-05-05,12.444,519.23,1.48,4.26,0.0,9.57
1990-05-06,12.417,519.2,1.48,4.04,0.0,9.75
1990-05-07,12.375,519.15,1.47,4.15,3.77,10.78
1990-05-08,12.355,519.13,1.47,3.34,0.61,10.35
1990-05-09,12.417,519.2,1.46,3.34,4.38,10.43
